Temporal Difference ,Q-Learning,TD increase,Average Reward-TD,,Average Reward increase
5,-379,-7580%,,,
7,-388,-5543%,,,
6,-379,-6317%,,,
12,-334,-2783%,,,
-3,-280,9333%,,,
11,-343,-3118%,,,
8,-352,-4400%,,,
-1,-370,37000%,,,
9,-388,-4311%,,,
-13,-370,2846%,,,
9,-325,-3611%,,,
4,-424,-10600%,,,
12,-325,-2708%,,,
-3,-415,13833%,,,
8,-433,-5413%,,,
7,-424,-6057%,,,
5,-361,-7220%,,,
7,-415,-5929%,,,
11,-397,-3609%,,,
-9,-343,3811%,,,
8,-379,-4738%,,,
4,-496,-12400%,,,
7,-343,-4900%,,,
-17,-397,2335%,,,
6,-361,-6017%,,,
7,-406,-5800%,,,
8,-442,-5525%,,,
8,-388,-4850%,,,
11,-352,-3200%,,,
11,-289,-2627%,,,
-21,-415,1976%,,,
13,-370,-2846%,,,
13,-334,-2569%,,,
7,-316,-4514%,,,
3,-379,-12633%,,,
8,-406,-5075%,,,
7,-352,-5029%,,,
9,-433,-4811%,,,
3,-343,-11433%,,,
10,-343,-3430%,,,
7,-415,-5929%,,,
8,-379,-4738%,,,
15,-316,-2107%,,,
9,-415,-4611%,,,
-7,-352,5029%,,,
-3,-388,12933%,,,
-6,-370,6167%,,,
12,-352,-2933%,,,
6,-388,-6467%,,,
8,-379,-4738%,,,
6,-361,-6017%,,,
5,-415,-8300%,,,
15,-433,-2887%,,,
10,-415,-4150%,,,
9,-406,-4511%,,,
-10,-352,3520%,,,
11,-424,-3855%,,,
4,-442,-11050%,,,
5,-505,-10100%,,,
2,-451,-22550%,,,
4,-415,-10375%,,,
10,-442,-4420%,,,
-4,-343,8575%,,,
11,-379,-3445%,,,
14,-343,-2450%,,,
8,-433,-5413%,,,
5,-298,-5960%,,,
4,-469,-11725%,,,
10,-388,-3880%,,,
11,-406,-3691%,,,
1,-424,-42400%,,,
9,-325,-3611%,,,
8,-415,-5188%,,,
8,-451,-5638%,,,
3,-442,-14733%,,,
5,-361,-7220%,,,
7,-424,-6057%,,,
7,-379,-5414%,,,
2,-260,-13000%,,,
8,-379,-4738%,,,
-6,-397,6617%,,,
7,-397,-5671%,,,
11,-361,-3282%,,,
10,-469,-4690%,,,
-16,-397,2481%,,,
2,-424,-21200%,,,
9,-433,-4811%,,,
10,-433,-4330%,,,
11,-280,-2545%,,,
10,-451,-4510%,,,
-12,-415,3458%,,,
-4,-460,11500%,,,
-21,-334,1590%,,,
6,-424,-7067%,,,
14,-397,-2836%,,,
11,-343,-3118%,,,
9,-361,-4011%,,,
7,-397,-5671%,,,
3,-442,-14733%,,,
6,-388,-6467%,,,
8,-370,-4625%,,,
3,-173,-5767%,,,
8,-424,-5300%,,,
10,-361,-3610%,,,
8,-370,-4625%,,,
-6,-406,6767%,,,
-6,-415,6917%,,,
7,-352,-5029%,,,
13,-379,-2915%,,,
7,-469,-6700%,,,
-39,-397,1018%,,,
10,-442,-4420%,,,
4,-442,-11050%,,,
7,-379,-5414%,,,
8,-451,-5638%,,,
13,-406,-3123%,,,
-4,-415,10375%,,,
4,-379,-9475%,,,
13,-406,-3123%,,,
9,-361,-4011%,,,
7,-415,-5929%,,,
13,-415,-3192%,,,
-27,-397,1470%,,,
2,-406,-20300%,,,
10,-388,-3880%,,,
8,-460,-5750%,,,
-2,-316,15800%,,,
-5,-424,8480%,,,
4,-442,-11050%,,,
-12,-289,2408%,,,
7,-451,-6443%,,,
-22,-379,1723%,,,
5,-406,-8120%,,,
7,-496,-7086%,,,
12,-334,-2783%,,,
8,-361,-4513%,,,
5,-379,-7580%,,,
4,-388,-9700%,,,
4,-379,-9475%,,,
-32,-361,1128%,,,
9,-424,-4711%,,,
7,-334,-4771%,,,
9,-361,-4011%,,,
2,-361,-18050%,,,
8,-442,-5525%,,,
9,-433,-4811%,,,
1,-424,-42400%,,,
7,-343,-4900%,,,
1,-388,-38800%,,,
-3,-406,13533%,,,
10,-433,-4330%,,,
-11,-343,3118%,,,
7,-424,-6057%,,,
10,-388,-3880%,,,
9,-451,-5011%,,,
9,-379,-4211%,,,
2,-415,-20750%,,,
5,-388,-7760%,,,
-5,-352,7040%,,,
8,-478,-5975%,,,
11,-406,-3691%,,,
4,-532,-13300%,,,
13,-514,-3954%,,,
14,-460,-3286%,,,
11,-379,-3445%,,,
12,-433,-3608%,,,
8,-298,-3725%,,,
12,-451,-3758%,,,
10,-325,-3250%,,,
-23,-397,1726%,,,
6,-379,-6317%,,,
10,-406,-4060%,,,
11,-487,-4427%,,,
6,-334,-5567%,,,
4,-361,-9025%,,,
6,-415,-6917%,,,
8,-442,-5525%,,,
9,-478,-5311%,,,
8,-406,-5075%,,,
8,-361,-4513%,,,
-24,-460,1917%,,,
8,-388,-4850%,,,
12,-334,-2783%,,,
12,-343,-2858%,,,
11,-442,-4018%,,,
10,-352,-3520%,,,
12,-469,-3908%,,,
6,-388,-6467%,,,
6,-424,-7067%,,,
-28,-388,1386%,,,
10,-379,-3790%,,,
7,-370,-5286%,,,
0,-397,#DIV/0!,,,
3,-496,-16533%,,,
4,-343,-8575%,,,
5,-397,-7940%,,,
10,-433,-4330%,,,
-18,-352,1956%,,,
-3,-424,14133%,,,
11,-352,-3200%,,,
11,-460,-4182%,,,
-37,-397,1073%,,,
11,-361,-3282%,,,
8,-397,-4963%,,,
5,-388,-7760%,,,
11,-478,-4345%,,,
14,-460,-3286%,,,
10,-361,-3610%,,,
8,-415,-5188%,,,
11,-298,-2709%,,,
10,-325,-3250%,,,
9,-397,-4411%,,,
-43,-352,819%,,,
9,-451,-5011%,,,
6,-379,-6317%,,,
7,-379,-5414%,,,
5,-415,-8300%,,,
9,-370,-4111%,,,
-10,-379,3790%,,,
11,-352,-3200%,,,
5,-433,-8660%,,,
9,-397,-4411%,,,
6,-352,-5867%,,,
4,-343,-8575%,,,
-10,-442,4420%,,,
8,-397,-4963%,,,
11,-424,-3855%,,,
10,-406,-4060%,,,
8,-280,-3500%,,,
8,-388,-4850%,,,
6,-415,-6917%,,,
9,-361,-4011%,,,
10,-415,-4150%,,,
8,-343,-4288%,,,
8,-361,-4513%,,,
-10,-361,3610%,,,
8,-451,-5638%,,,
11,-415,-3773%,,,
13,-370,-2846%,,,
6,-523,-8717%,,,
9,-352,-3911%,,,
5,-388,-7760%,,,
-19,-442,2326%,,,
0,-316,#DIV/0!,,,
12,-424,-3533%,,,
-3,-388,12933%,,,
-20,-397,1985%,,,
6,-397,-6617%,,,
2,-451,-22550%,,,
6,-487,-8117%,,,
9,-451,-5011%,,,
5,-361,-7220%,,,
4,-325,-8125%,,,
9,-370,-4111%,,,
-16,-397,2481%,,,
4,-361,-9025%,,,
8,-424,-5300%,,,
8,-307,-3838%,,,
2,-433,-21650%,,,
3,-424,-14133%,,,
-4,-379,9475%,,,
5,-361,-7220%,,,
9,-415,-4611%,,,
4,-424,-10600%,,,
7,-352,-5029%,,,
6,-424,-7067%,,,
11,-424,-3855%,,,
-25,-397,1588%,,,
1,-478,-47800%,,,
8,-406,-5075%,,,
2,-253,-12650%,,,
11,-298,-2709%,,,
8,-424,-5300%,,,
8,-379,-4738%,,,
11,-424,-3855%,,,
7,-370,-5286%,,,
14,-379,-2707%,,,
8,-352,-4400%,,,
9,-334,-3711%,,,
7,-406,-5800%,,,
8,-388,-4850%,,,
5,-433,-8660%,,,
-3,-460,15333%,,,
4,-343,-8575%,,,
5,-343,-6860%,,,
5,-550,-11000%,,,
12,-289,-2408%,,,
5,-424,-8480%,,,
8,-325,-4063%,,,
8,-370,-4625%,,,
9,-406,-4511%,,,
1,-388,-38800%,,,
5,-361,-7220%,,,
6,-415,-6917%,,,
6,-388,-6467%,,,
9,-424,-4711%,,,
10,-316,-3160%,,,
6,-352,-5867%,,,
10,-442,-4420%,,,
11,-424,-3855%,,,
8,-433,-5413%,,,
9,-379,-4211%,,,
10,-325,-3250%,,,
9,-424,-4711%,,,
11,-379,-3445%,,,
7,-370,-5286%,,,
8,-370,-4625%,,,
10,-343,-3430%,,,
11,-415,-3773%,,,
3,-433,-14433%,,,
-46,-388,843%,,,
-20,-433,2165%,,,
10,-397,-3970%,,,
6,-397,-6617%,,,
2,-406,-20300%,,,
6,-298,-4967%,,,
0,-370,#DIV/0!,,,
6,-388,-6467%,,,
0,-415,#DIV/0!,,,
2,-370,-18500%,,,
-20,-379,1895%,,,
10,-397,-3970%,,,
10,-424,-4240%,,,
10,-388,-3880%,,,
3,-379,-12633%,,,
10,-406,-4060%,,,
6,-433,-7217%,,,
1,-379,-37900%,,,
13,-343,-2638%,,,
2,-451,-22550%,,,
11,-415,-3773%,,,
14,-469,-3350%,,,
10,-397,-3970%,,,
11,-352,-3200%,,,
8,-361,-4513%,,,
10,-514,-5140%,,,
3,-334,-11133%,,,
7,-424,-6057%,,,
14,-388,-2771%,,,
9,-370,-4111%,,,
9,-415,-4611%,,,
12,-352,-2933%,,,
3,-361,-12033%,,,
8,-487,-6088%,,,
7,-406,-5800%,,,
10,-361,-3610%,,,
8,-370,-4625%,,,
8,-370,-4625%,,,
9,-370,-4111%,,,
2,-451,-22550%,,,
-14,-379,2707%,,,
5,-424,-8480%,,,
9,-370,-4111%,,,
12,-433,-3608%,,,
9,-406,-4511%,,,
6,-224,-3733%,,,
3,-370,-12333%,,,
5,-397,-7940%,,,
11,-433,-3936%,,,
5,-451,-9020%,,,
5,-307,-6140%,,,
7,-406,-5800%,,,
10,-442,-4420%,,,
6,-325,-5417%,,,
6,-370,-6167%,,,
3,-316,-10533%,,,
1,-370,-37000%,,,
10,-370,-3700%,,,
5,-370,-7400%,,,
14,-433,-3093%,,,
7,-442,-6314%,,,
10,-406,-4060%,,,
11,-379,-3445%,,,
2,-469,-23450%,,,
8,-370,-4625%,,,
9,-397,-4411%,,,
5,-334,-6680%,,,
8,-424,-5300%,,,
7,-415,-5929%,,,
10,-370,-3700%,,,
-2,-406,20300%,,,
5,-379,-7580%,,,
10,-361,-3610%,,,
11,-397,-3609%,,,
6,-352,-5867%,,,
7,-478,-6829%,,,
7,-415,-5929%,,,
9,-415,-4611%,,,
7,-388,-5543%,,,
4,-388,-9700%,,,
6,-361,-6017%,,,
13,-379,-2915%,,,
11,-370,-3364%,,,
8,-460,-5750%,,,
8,-433,-5413%,,,
6,-397,-6617%,,,
11,-379,-3445%,,,
6,-397,-6617%,,,
11,-379,-3445%,,,
10,-433,-4330%,,,
5,-397,-7940%,,,
11,-397,-3609%,,,
3,-388,-12933%,,,
6,-379,-6317%,,,
6,-370,-6167%,,,
7,-388,-5543%,,,
5,-469,-9380%,,,
13,-388,-2985%,,,
7,-307,-4386%,,,
9,-433,-4811%,,,
1,-334,-33400%,,,
7,-343,-4900%,,,
7,-370,-5286%,,,
5,-397,-7940%,,,
-9,-388,4311%,,,
5,-361,-7220%,,,
10,-379,-3790%,,,
6,-379,-6317%,,,
8,-415,-5188%,,,
9,-460,-5111%,,,
-13,-361,2777%,,,
8,-415,-5188%,,,
15,-370,-2467%,,,
14,-415,-2964%,,,
7,-424,-6057%,,,
4,-307,-7675%,,,
6,-469,-7817%,,,
12,-379,-3158%,,,
8,-325,-4063%,,,
7,-343,-4900%,,,
11,-307,-2791%,,,
5,-415,-8300%,,,
3,-433,-14433%,,,
6,-370,-6167%,,,
14,-361,-2579%,,,
6,-442,-7367%,,,
11,-424,-3855%,,,
0,-388,#DIV/0!,,,
-21,-460,2190%,,,
6,-424,-7067%,,,
-26,-487,1873%,,,
2,-442,-22100%,,,
1,-361,-36100%,,,
-18,-433,2406%,,,
7,-424,-6057%,,,
6,-442,-7367%,,,
10,-406,-4060%,,,
7,-505,-7214%,,,
6,-370,-6167%,,,
9,-325,-3611%,,,
7,-370,-5286%,,,
10,-406,-4060%,,,
6,-257,-4283%,,,
-14,-433,3093%,,,
10,-514,-5140%,,,
4,-442,-11050%,,,
11,-397,-3609%,,,
6,-325,-5417%,,,
10,-424,-4240%,,,
8,-379,-4738%,,,
6,-352,-5867%,,,
9,-352,-3911%,,,
5,-433,-8660%,,,
6,-451,-7517%,,,
7,-415,-5929%,,,
6,-415,-6917%,,,
9,-397,-4411%,,,
11,-388,-3527%,,,
8,-343,-4288%,,,
8,-298,-3725%,,,
5,-451,-9020%,,,
3,-388,-12933%,,,
-11,-370,3364%,,,
3,-379,-12633%,,,
10,-442,-4420%,,,
9,-388,-4311%,,,
6,-361,-6017%,,,
11,-370,-3364%,,,
6,-433,-7217%,,,
10,-388,-3880%,,,
7,-433,-6186%,,,
-9,-469,5211%,,,
3,-397,-13233%,,,
6,-343,-5717%,,,
-17,-343,2018%,,,
5,-460,-9200%,,,
8,-343,-4288%,,,
4,-334,-8350%,,,
5,-271,-5420%,,,
-5,-406,8120%,,,
11,-388,-3527%,,,
-17,-433,2547%,,,
-14,-334,2386%,,,
4,-415,-10375%,,,
9,-424,-4711%,,,
6,-298,-4967%,,,
12,-352,-2933%,,,
10,-451,-4510%,,,
13,-424,-3262%,,,
8,-424,-5300%,,,
10,-334,-3340%,,,
4,-397,-9925%,,,
-18,-460,2556%,,,
9,-433,-4811%,,,
9,-433,-4811%,,,
6,-415,-6917%,,,
9,-433,-4811%,,,
8,-415,-5188%,,,
11,-388,-3527%,,,
6,-397,-6617%,,,
11,-478,-4345%,,,
7,-397,-5671%,,,
10,-370,-3700%,,,
11,-487,-4427%,,,
11,-415,-3773%,,,
10,-397,-3970%,,,
5,-352,-7040%,,,
9,-361,-4011%,,,
13,-505,-3885%,,,
11,-424,-3855%,,,
11,-406,-3691%,,,
6,-397,-6617%,,,
6,-469,-7817%,,,
-9,-325,3611%,,,
11,-352,-3200%,,,
8,-361,-4513%,,,
8,-460,-5750%,,,
3,-496,-16533%,,,
9,-379,-4211%,,,
9,-460,-5111%,,,
8,-397,-4963%,,,
7,-307,-4386%,,,
10,-370,-3700%,,,
11,-361,-3282%,,,
4,-370,-9250%,,,
-9,-361,4011%,,,
14,-379,-2707%,,,
10,-424,-4240%,,,
10,-424,-4240%,,,
10,-424,-4240%,,,
11,-388,-3527%,,,
7,-388,-5543%,,,
11,-433,-3936%,,,
9,-352,-3911%,,,
8,-379,-4738%,,,
4,-397,-9925%,,,
9,-379,-4211%,,,
9,-433,-4811%,,,
6,-379,-6317%,,,
9,-325,-3611%,,,
7,-433,-6186%,,,
6,-397,-6617%,,,
4,-388,-9700%,,,
8,-307,-3838%,,,
6,-433,-7217%,,,
9,-352,-3911%,,,
5,-379,-7580%,,,
13,-370,-2846%,,,
-5,-379,7580%,,,
5,-334,-6680%,,,
11,-460,-4182%,,,
8,-415,-5188%,,,
12,-397,-3308%,,,
8,-379,-4738%,,,
11,-496,-4509%,,,
13,-460,-3538%,,,
8,-361,-4513%,,,
4,-388,-9700%,,,
9,-343,-3811%,,,
11,-388,-3527%,,,
8,-370,-4625%,,,
10,-415,-4150%,,,
3,-352,-11733%,,,
6,-451,-7517%,,,
12,-325,-2708%,,,
-14,-415,2964%,,,
9,-424,-4711%,,,
9,-406,-4511%,,,
6,-343,-5717%,,,
7,-397,-5671%,,,
7,-442,-6314%,,,
10,-469,-4690%,,,
14,-388,-2771%,,,
9,-487,-5411%,,,
-9,-352,3911%,,,
6,-424,-7067%,,,
-14,-460,3286%,,,
3,-325,-10833%,,,
5,-325,-6500%,,,
10,-379,-3790%,,,
7,-325,-4643%,,,
3,-334,-11133%,,,
6,-460,-7667%,,,
11,-478,-4345%,,,
8,-442,-5525%,,,
12,-442,-3683%,,,
7,-424,-6057%,,,
5,-86,-1720%,,,
7,-451,-6443%,,,
13,-343,-2638%,,,
6,-433,-7217%,,,
9,-379,-4211%,,,
10,-478,-4780%,,,
14,-361,-2579%,,,
9,-379,-4211%,,,
1,-406,-40600%,,,
-14,-460,3286%,,,
14,-442,-3157%,,,
-8,-251,3138%,,,
7,-370,-5286%,,,
6,-397,-6617%,,,
6,-370,-6167%,,,
8,-451,-5638%,,,
4,-379,-9475%,,,
6,-460,-7667%,,,
10,-424,-4240%,,,
8,-424,-5300%,,,
5,-415,-8300%,,,
8,-406,-5075%,,,
5,-433,-8660%,,,
1,-406,-40600%,,,
11,-370,-3364%,,,
13,-361,-2777%,,,
12,-271,-2258%,,,
11,-361,-3282%,,,
11,-406,-3691%,,,
1,-433,-43300%,,,
-24,-406,1692%,,,
10,-451,-4510%,,,
-11,-379,3445%,,,
8,-406,-5075%,,,
6,-370,-6167%,,,
-7,-307,4386%,,,
2,-316,-15800%,,,
9,-415,-4611%,,,
13,-442,-3400%,,,
13,-379,-2915%,,,
7,-460,-6571%,,,
10,-451,-4510%,,,
7,-469,-6700%,,,
-8,-406,5075%,,,
7,-406,-5800%,,,
11,-379,-3445%,,,
9,-388,-4311%,,,
10,-424,-4240%,,,
6,-415,-6917%,,,
3,-361,-12033%,,,
10,-325,-3250%,,,
9,-343,-3811%,,,
1,-388,-38800%,,,
4,-406,-10150%,,,
10,-406,-4060%,,,
-5,-406,8120%,,,
7,-352,-5029%,,,
-7,-442,6314%,,,
5,-379,-7580%,,,
2,-370,-18500%,,,
5,-406,-8120%,,,
11,-442,-4018%,,,
11,-361,-3282%,,,
12,-397,-3308%,,,
10,-361,-3610%,,,
7,-325,-4643%,,,
8,-388,-4850%,,,
9,-406,-4511%,,,
11,-460,-4182%,,,
12,-343,-2858%,,,
12,-478,-3983%,,,
5,-397,-7940%,,,
9,-415,-4611%,,,
3,-397,-13233%,,,
2,-343,-17150%,,,
12,-379,-3158%,,,
15,-451,-3007%,,,
8,-424,-5300%,,,
7,-352,-5029%,,,
7,-424,-6057%,,,
9,-388,-4311%,,,
7,-361,-5157%,,,
9,-406,-4511%,,,
8,-388,-4850%,,,
8,-325,-4063%,,,
12,-424,-3533%,,,
11,-397,-3609%,,,
11,-415,-3773%,,,
7,-316,-4514%,,,
6,-433,-7217%,,,
6,-397,-6617%,,,
7,-406,-5800%,,,
7,-300,-4286%,,,
7,-397,-5671%,,,
12,-433,-3608%,,,
4,-415,-10375%,,,
8,-424,-5300%,,,
5,-406,-8120%,,,
-6,-415,6917%,,,
8,-352,-4400%,,,
10,-370,-3700%,,,
8,-406,-5075%,,,
7,-415,-5929%,,,
2,-460,-23000%,,,
-19,-361,1900%,,,
5,-316,-6320%,,,
6,-406,-6767%,,,
10,-415,-4150%,,,
7,-487,-6957%,,,
4,-379,-9475%,,,
7,-379,-5414%,,,
10,-379,-3790%,,,
13,-193,-1485%,,,
2,-424,-21200%,,,
6,-451,-7517%,,,
8,-442,-5525%,,,
5,-424,-8480%,,,
5,-406,-8120%,,,
9,-361,-4011%,,,
12,-379,-3158%,,,
11,-397,-3609%,,,
7,-406,-5800%,,,
9,-379,-4211%,,,
10,-262,-2620%,,,
11,-361,-3282%,,,
6,-388,-6467%,,,
7,-379,-5414%,,,
-3,-370,12333%,,,
9,-433,-4811%,,,
11,-478,-4345%,,,
8,-433,-5413%,,,
4,-343,-8575%,,,
3,-415,-13833%,,,
5,-388,-7760%,,,
8,-415,-5188%,,,
9,-433,-4811%,,,
5,-361,-7220%,,,
8,-406,-5075%,,,
9,-397,-4411%,,,
9,-397,-4411%,,,
5,-433,-8660%,,,
13,-496,-3815%,,,
7,-379,-5414%,,,
9,-352,-3911%,,,
11,-370,-3364%,,,
7,-406,-5800%,,,
8,-433,-5413%,,,
9,-343,-3811%,,,
3,-397,-13233%,,,
10,-343,-3430%,,,
6,-469,-7817%,,,
-8,-397,4963%,,,
10,-505,-5050%,,,
8,-325,-4063%,,,
10,-442,-4420%,,,
5,-316,-6320%,,,
11,-442,-4018%,,,
3,-397,-13233%,,,
8,-388,-4850%,,,
14,-370,-2643%,,,
8,-388,-4850%,,,
7,-370,-5286%,,,
9,-352,-3911%,,,
13,-451,-3469%,,,
11,-316,-2873%,,,
4,-424,-10600%,,,
9,-352,-3911%,,,
14,-379,-2707%,,,
7,-460,-6571%,,,
-21,-424,2019%,,,
5,-325,-6500%,,,
11,-379,-3445%,,,
9,-460,-5111%,,,
9,-352,-3911%,,,
3,-424,-14133%,,,
8,-370,-4625%,,,
7,-424,-6057%,,,
10,-388,-3880%,,,
-1,-433,43300%,,,
8,-316,-3950%,,,
9,-388,-4311%,,,
9,-334,-3711%,,,
11,-424,-3855%,,,
8,-245,-3063%,,,
0,-424,#DIV/0!,,,
5,-433,-8660%,,,
5,-352,-7040%,,,
10,-451,-4510%,,,
7,-442,-6314%,,,
10,-406,-4060%,,,
5,-352,-7040%,,,
9,-316,-3511%,,,
2,-334,-16700%,,,
7,-415,-5929%,,,
7,-325,-4643%,,,
11,-370,-3364%,,,
4,-316,-7900%,,,
5,-451,-9020%,,,
11,-406,-3691%,,,
7,-424,-6057%,,,
5,-271,-5420%,,,
8,-433,-5413%,,,
8,-361,-4513%,,,
10,-415,-4150%,,,
7,-388,-5543%,,,
12,-433,-3608%,,,
7,-406,-5800%,,,
11,-370,-3364%,,,
9,-343,-3811%,,,
12,-397,-3308%,,,
10,-424,-4240%,,,
4,-397,-9925%,,,
11,-424,-3855%,,,
4,-469,-11725%,,,
5,-379,-7580%,,,
6,-370,-6167%,,,
6,-451,-7517%,,,
8,-406,-5075%,,,
9,-406,-4511%,,,
11,-424,-3855%,,,
2,-478,-23900%,,,
11,-460,-4182%,,,
5,-487,-9740%,,,
5,-469,-9380%,,,
8,-415,-5188%,,,
2,-424,-21200%,,,
8,-424,-5300%,,,
8,-361,-4513%,,,
0,-442,#DIV/0!,,,
9,-442,-4911%,,,
11,-334,-3036%,,,
4,-379,-9475%,,,
6,-442,-7367%,,,
8,-370,-4625%,,,
8,-460,-5750%,,,
